user_id,age,gender,occupation,zip_code
1,34,M,other,76059
2,30,M,other,77504
3,69,M,executive,10022
4,29,F,writer,10016
5,49,M,administrator,63146
6,19,F,student,78264
7,35,M,other,22911
8,41,M,marketing,60035
9,49,F,educator,97301
10,34,M,other,28814
11,49,F,executive,90291
12,48,M,librarian,01080
13,24,M,entertainment,10003
14,26,M,administrator,61801
15,25,M,librarian,46260
16,22,M,engineer,60090
17,33,M,programmer,85251
18,59,M,administrator,40205
19,31,M,educator,54248
20,43,M,engineer,91351
21,39,F,librarian,59717
22,28,F,student,78741
23,47,M,educator,74075
24,50,M,entertainment,60614
25,31,M,educator,50325
26,25,F,other,63108
27,37,F,administrator,60476
28,49,F,educator,55413
29,38,M,administrator,02154
30,31,M,entertainment,V3N4P
31,32,M,educator,48103
32,24,M,scientist,92507
33,48,M,other,02110
34,34,M,other,20755
35,55,F,other,80526
36,51,F,librarian,56321
37,48,F,artist,20008
38,30,F,artist,94025
39,43,M,engineer,30093
40,47,M,lawyer,06371
41,45,M,scientist,99709
42,27,F,administrator,19711
43,23,M,student,80521
44,65,M,retired,06518
45,21,M,programmer,91919
46,29,M,administrator,12866
47,35,M,programmer,63033
48,36,M,engineer,55443
49,17,M,student,37411
50,45,M,artist,83814
51,56,M,salesman,91206
52,28,M,student,55414
53,27,M,student,21208
54,33,M,artist,94608
55,28,M,administrator,94720
56,25,M,student,78741
57,35,M,librarian,01970
58,45,F,artist,97203
59,27,M,writer,E2A4H
60,48,M,administrator,98225
61,28,M,student,55414
62,16,F,student,95453
63,47,F,other,34656
64,51,F,lawyer,53202
65,29,M,executive,95110
66,58,M,executive,94306
67,33,M,scientist,53706
68,29,F,programmer,55108
69,30,M,programmer,98072
70,36,M,engineer,30040
71,23,M,other,84116
72,23,F,engineer,80228
73,42,M,engineer,07733
74,42,M,writer,55113
75,38,M,programmer,30220
76,20,M,student,55414
77,33,F,administrator,78213
78,22,M,student,65203
79,26,F,student,20001
80,42,M,scientist,45680
81,19,M,student,58644
82,27,F,student,78739
83,41,F,educator,70403
84,29,M,student,01002
85,27,M,student,76201
86,28,M,scientist,07030
87,31,M,administrator,M7A1A
88,26,M,executive,84601
89,22,M,student,77841
90,28,F,scientist,07310
91,21,F,student,55414
92,18,M,student,90210
93,23,M,entertainment,10021
94,25,M,student,55454
95,20,F,homemaker,42459
96,25,M,student,37235
97,55,M,technician,75094
98,27,M,student,55108
99,20,M,student,87501
100,55,M,other,94920
101,26,M,executive,94403
102,47,M,other,V0R2M
103,32,M,writer,55369
104,13,M,other,48118
105,24,M,artist,10003
106,30,M,other,12345
107,55,M,educator,01602
108,57,M,retired,98257
109,34,M,technician,92110
110,20,M,student,39762
111,28,M,librarian,27514
112,22,M,administrator,13210
113,30,F,librarian,22903
114,23,M,student,84604
115,46,F,other,44224
116,27,F,other,20009
117,36,M,other,45243
118,31,F,scientist,32114
119,25,F,student,32301
120,28,M,student,14216
121,42,M,engineer,83814
122,38,F,administrator,49428
123,18,F,writer,28450
124,24,F,other,90034
125,41,M,administrator,15235
126,36,M,writer,10003
127,48,F,librarian,78209
128,48,M,writer,80209
129,33,M,engineer,33716
130,32,M,other,28806
131,21,M,student,91711
132,37,M,lawyer,43215
133,35,M,student,29210
134,28,M,student,48105
135,51,F,administrator,03062
136,22,F,student,20006
137,20,F,student,68503
138,27,M,artist,11211
139,21,M,student,55408
140,43,F,administrator,16803
141,42,M,executive,98101
142,23,M,programmer,94086
