"USER_ID_MOVIE_ID","PREDICTED_RATING"
1,10,2
1,67,5
1,82,4
1,97,4
1,121,4
1,138,5
1,142,4
1,148,4
1,211,3
1,254,1
1,322,5
1,375,2
1,437,3
1,468,3
1,487,4
1,556,1
1,562,4
1,570,4
1,589,2
1,614,3
1,655,5
1,682,3
1,709,3
1,732,3
1,740,3
1,803,3
1,834,3
1,895,2
1,912,4
1,919,3
1,936,4
1,947,4
1,948,4
1,971,1
1,980,3
1,986,1
1,1075,4
1,1086,3
1,1110,2
1,1116,2
1,1145,2
1,1154,4
1,1176,2
1,1191,3
1,1197,5
1,1202,2
1,1205,3
1,1222,2
1,1306,5
1,1321,5
1,1324,5
1,1331,3
1,1332,1
1,1379,4
1,1398,3
1,1439,5
1,1473,3
1,1504,4
1,1532,4
2,83,3
2,305,2
2,306,4
2,403,4
2,475,5
2,755,4
2,757,2
2,776,4
2,808,3
2,810,4
2,1008,4
2,1032,4
2,1049,4
2,1224,4
2,1249,4
2,1306,4
2,1325,3
2,1364,4
2,1379,5
2,1383,4
2,1398,5
3,103,3
3,168,2
3,218,4
3,395,5
3,506,4
3,533,1
3,732,3
3,757,1
3,827,4
3,856,1
3,875,5
3,948,5
3,1011,4
3,1023,5
3,1105,4
3,1117,5
3,1168,5
3,1188,5
3,1393,5
3,1481,3
4,275,4
4,323,4
4,330,4
4,528,3
4,800,3
4,810,4
4,912,5
4,1175,3
4,1256,5
4,1257,5
5,67,5
5,128,4
5,203,4
5,290,5
5,395,5
5,538,5
5,712,4
5,715,4
5,716,3
5,945,4
5,948,4
5,962,4
5,1023,5
5,1067,2
5,1364,3
5,1540,4
6,83,3
6,138,4
6,276,3
6,348,4
6,350,5
6,372,4
6,377,3
6,399,4
6,402,5
6,453,4
6,464,2
6,487,3
6,492,4
6,501,2
6,506,4
6,581,3
6,603,3
6,705,5
6,707,3
6,710,3
6,779,1
6,796,4
6,811,4
6,828,3
6,898,3
6,912,5
6,936,5
6,938,4
6,945,3
6,947,4
6,1031,3
6,1074,3
6,1080,4
6,1134,5
6,1360,4
6,1390,4
6,1392,3
6,1399,5
6,1417,3
6,1435,3
6,1453,3
6,1460,4
6,1475,3
6,1499,4
6,1504,4
6,1515,4
6,1539,5
7,63,4
7,275,3
7,333,4
7,372,4
7,709,4
7,1214,3
7,1364,4
8,3,1
8,8,4
8,42,5
8,69,3
8,101,3
8,111,5
8,113,4
8,132,4
8,153,4
8,167,5
8,203,5
8,210,3
8,252,5
8,277,5
8,310,3
8,330,3
8,333,5
8,335,2
8,449,2
8,508,3
8,539,3
8,548,5
8,621,2
8,644,3
8,653,5
8,658,5
8,674,3
8,691,4
8,701,4
8,704,4
8,732,3
8,797,4
8,841,3
8,847,3
8,890,3
8,919,3
8,926,3
8,944,5
8,975,5
8,983,3
8,1013,5
8,1038,4
8,1048,2
8,1056,3
8,1080,5
8,1096,3
8,1103,5
