"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_10,2.8
1_67,3.8
1_82,3.2
1_97,4.0
1_121,3.4
1_138,4.6
1_142,4.0
1_148,3.8
1_211,3.8
1_254,3.0
1_322,3.4
1_375,4.2
1_437,3.4
1_468,2.0
1_487,3.2
1_556,3.6
1_562,4.4
1_570,3.8
1_589,4.0
1_614,3.0
1_655,2.8
1_682,3.0
1_709,2.8
1_732,3.6
1_740,3.2
1_803,2.6
1_834,3.4
1_895,4.2
1_912,3.8
1_919,3.4
1_936,3.4
1_947,2.6
1_948,3.8
1_971,3.2
1_980,3.6
1_986,3.8
1_1075,2.6
1_1086,3.2
1_1110,3.4
1_1116,4.6
1_1145,3.2
1_1154,3.8
1_1176,3.6
1_1191,3.6
1_1197,4.2
1_1202,3.6
1_1205,3.4
1_1222,3.4
1_1306,3.4
1_1321,3.8
1_1324,3.8
1_1331,4.0
1_1332,3.8
1_1379,2.8
1_1398,2.8
1_1439,2.0
1_1473,3.6
1_1504,3.4
1_1532,4.2
2_83,3.4
2_305,3.6
2_306,3.4
2_403,4.6
2_475,2.6
2_755,3.0
2_757,3.2
2_776,4.4
2_808,3.0
2_810,2.8
2_1008,4.0
2_1032,3.2
2_1049,4.4
2_1224,4.2
2_1249,3.6
2_1306,3.0
2_1325,3.0
2_1364,3.0
2_1379,3.2
2_1383,2.8
2_1398,3.8
3_103,3.2
3_168,4.0
3_218,4.2
3_395,4.0
3_506,4.2
3_533,3.0
3_732,3.8
3_757,3.0
3_827,4.0
3_856,2.4
3_875,2.4
3_948,3.8
3_1011,3.8
3_1023,4.4
3_1105,3.0
3_1117,3.8
3_1168,3.8
3_1188,3.6
3_1393,3.8
3_1481,3.8
4_275,2.4
4_323,3.8
4_330,3.8
4_528,2.8
4_800,3.8
4_810,1.8
4_912,3.0
4_1175,3.6
4_1256,2.8
4_1257,4.2
5_67,3.8
5_128,4.6
5_203,4.6
5_290,3.8
5_395,4.4
5_538,4.6
5_712,3.8
5_715,4.0
5_716,4.4
5_945,3.4
5_948,3.8
5_962,4.0
5_1023,3.4
5_1067,3.8
5_1364,3.6
5_1540,4.4
6_83,3.4
6_138,3.4
6_276,3.6
6_348,3.4
6_350,3.4
6_372,3.2
6_377,3.6
6_399,3.6
6_402,4.0
6_453,3.0
6_464,4.4
6_487,4.0
6_492,3.6
6_501,3.6
6_506,2.6
6_581,3.2
6_603,3.4
6_705,3.6
6_707,2.4
6_710,3.8
6_779,3.4
6_796,3.4
6_811,3.4
6_828,3.4
6_898,3.2
6_912,3.8
6_936,3.6
6_938,3.0
6_945,3.0
6_947,3.6
6_1031,3.6
6_1074,3.6
6_1080,4.2
6_1134,3.0
6_1360,4.0
6_1390,4.2
6_1392,3.6
6_1399,4.0
6_1417,4.4
6_1435,2.6
6_1453,2.6
6_1460,3.4
6_1475,3.6
6_1499,3.4
6_1504,3.6
6_1515,3.6
6_1539,3.8
7_63,3.4
7_275,4.2
7_333,2.8
7_372,3.2
7_709,3.0
7_1214,3.4
7_1364,3.6
